jarak,waktu_milli,waktu_second,zona
75,4424,4,AMAN
72,4254,4,AMAN
104,6137,6,AMAN
72,4252,4,AMAN
71,4202,4,AMAN
82,4844,4,AMAN
72,4252,4,AMAN
81,4819,4,AMAN
72,4252,4,AMAN
82,4844,4,AMAN
81,4820,4,AMAN
72,4252,4,AMAN
82,4848,4,AMAN
72,4250,4,AMAN
82,4846,4,AMAN
82,4871,4,AMAN
75,4449,4,AMAN
77,4575,4,AMAN
73,4327,4,AMAN
81,4822,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
81,4821,4,AMAN
72,4252,4,AMAN
75,4424,4,AMAN
73,4326,4,AMAN
73,4326,4,AMAN
75,4422,4,AMAN
76,4472,4,AMAN
81,4823,4,AMAN
76,4524,4,AMAN
71,4204,4,AMAN
73,4327,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4251,4,AMAN
72,4251,4,AMAN
72,4252,4,AMAN
71,4204,4,AMAN
102,6002,6,AMAN
73,4325,4,AMAN
71,4204,4,AMAN
71,4204,4,AMAN
82,4842,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
72,4252,4,AMAN
76,4473,4,AMAN
71,4202,4,AMAN
73,4325,4,AMAN
71,4203,4,AMAN
71,4203,4,AMAN
71,4203,4,AMAN
71,4203,4,AMAN
72,4251,4,AMAN
72,4254,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
71,4202,4,AMAN
72,4254,4,AMAN
71,4203,4,AMAN
72,4254,4,AMAN
73,4326,4,AMAN
73,4326,4,AMAN
73,4324,4,AMAN
73,4326,4,AMAN
71,4203,4,AMAN
71,4201,4,AMAN
71,4203,4,AMAN
72,4276,4,AMAN
72,4276,4,AMAN
76,4475,4,AMAN
82,4843,4,AMAN
72,4273,4,AMAN
72,4273,4,AMAN
73,4325,4,AMAN
71,4225,4,AMAN
72,4276,4,AMAN
130,7702,7,AMAN
72,4276,4,AMAN
73,4325,4,AMAN
82,4842,4,AMAN
76,4521,4,AMAN
75,4422,4,AMAN
75,4425,4,AMAN
71,4202,4,AMAN
73,4325,4,AMAN
72,4252,4,AMAN
72,4251,4,AMAN
81,4820,4,AMAN
82,4846,4,AMAN
81,4820,4,AMAN
76,4501,4,AMAN
85,5008,5,AMAN
71,4182,4,AMAN
81,4820,4,AMAN
81,4820,4,AMAN
82,4846,4,AMAN
81,4820,4,AMAN
81,4822,4,AMAN
81,4820,4,AMAN
81,4822,4,AMAN
81,4823,4,AMAN
81,4820,4,AMAN
76,4500,4,AMAN
76,4500,4,AMAN
75,4449,4,AMAN
71,4227,4,AMAN
75,4451,4,AMAN
122,7197,7,AMAN
71,4180,4,AMAN
74,4399,4,AMAN
75,4451,4,AMAN
73,4350,4,AMAN
81,4821,4,AMAN
76,4500,4,AMAN
81,4821,4,AMAN
81,4820,4,AMAN
77,4572,4,AMAN
81,4820,4,AMAN
71,4180,4,AMAN
82,4846,4,AMAN
72,4252,4,AMAN
71,4182,4,AMAN
71,4182,4,AMAN
71,4182,4,AMAN
81,4821,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
72,4252,4,AMAN
72,4250,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
73,4326,4,AMAN
73,4326,4,AMAN
71,4203,4,AMAN
73,4326,4,AMAN
75,4424,4,AMAN
72,4251,4,AMAN
82,4843,4,AMAN
71,4204,4,AMAN
75,4423,4,AMAN
76,4472,4,AMAN
71,4203,4,AMAN
71,4202,4,AMAN
71,4202,4,AMAN
76,4473,4,AMAN
76,4472,4,AMAN
76,4473,4,AMAN
75,4425,4,AMAN
71,4202,4,AMAN
72,4275,4,AMAN
71,4203,4,AMAN
71,4202,4,AMAN
82,4844,4,AMAN
72,4274,4,AMAN
72,4274,4,AMAN
72,4273,4,AMAN
73,4327,4,AMAN
72,4250,4,AMAN
73,4326,4,AMAN
75,4424,4,AMAN
71,4203,4,AMAN
72,4252,4,AMAN
73,4326,4,AMAN
72,4251,4,AMAN
72,4251,4,AMAN
72,4252,4,AMAN
76,4499,4,AMAN
72,4252,4,AMAN
82,4846,4,AMAN
71,4180,4,AMAN
72,4251,4,AMAN
73,4327,4,AMAN
71,4204,4,AMAN
73,4327,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
75,4423,4,AMAN
74,4401,4,AMAN
72,4250,4,AMAN
71,4180,4,AMAN
81,4821,4,AMAN
122,7200,7,AMAN
107,6340,6,AMAN
72,4276,4,AMAN
74,4354,4,AMAN
76,4500,4,AMAN
82,4849,4,AMAN
72,4250,4,AMAN
81,4823,4,AMAN
71,4181,4,AMAN
81,4822,4,AMAN
71,4231,4,AMAN
76,4500,4,AMAN
74,4399,4,AMAN
76,4501,4,AMAN
82,4847,4,AMAN
76,4500,4,AMAN
72,4253,4,AMAN
71,4181,4,AMAN
72,4252,4,AMAN
72,4253,4,AMAN
72,4251,4,AMAN
76,4474,4,AMAN
72,4251,4,AMAN
72,4252,4,AMAN
72,4253,4,AMAN
82,4848,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
72,4251,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
72,4254,4,AMAN
72,4254,4,AMAN
73,4324,4,AMAN
76,4475,4,AMAN
73,4326,4,AMAN
72,4253,4,AMAN
71,4203,4,AMAN
72,4252,4,AMAN
84,4948,4,AMAN
73,4327,4,AMAN
71,4204,4,AMAN
74,4375,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
72,4252,4,AMAN
72,4250,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
82,4871,4,AMAN
72,4252,4,AMAN
82,4844,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
73,4327,4,AMAN
73,4325,4,AMAN
73,4325,4,AMAN
71,4204,4,AMAN
71,4201,4,AMAN
71,4201,4,AMAN
71,4203,4,AMAN
73,4324,4,AMAN
76,4472,4,AMAN
71,4201,4,AMAN
71,4203,4,AMAN
71,4201,4,AMAN
71,4203,4,AMAN
73,4324,4,AMAN
75,4422,4,AMAN
71,4203,4,AMAN
71,4201,4,AMAN
71,4203,4,AMAN
75,4422,4,AMAN
76,4523,4,AMAN
71,4203,4,AMAN
71,4203,4,AMAN
71,4203,4,AMAN
73,4325,4,AMAN
73,4326,4,AMAN
73,4326,4,AMAN
71,4203,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
72,4254,4,AMAN
72,4254,4,AMAN
72,4252,4,AMAN
82,4877,4,AMAN
75,4449,4,AMAN
74,4353,4,AMAN
82,4846,4,AMAN
76,4500,4,AMAN
71,4231,4,AMAN
71,4231,4,AMAN
82,4849,4,AMAN
71,4230,4,AMAN
81,4820,4,AMAN
75,4451,4,AMAN
82,4849,4,AMAN
71,4230,4,AMAN
71,4231,4,AMAN
76,4500,4,AMAN
82,4849,4,AMAN
71,4228,4,AMAN
77,4573,4,AMAN
81,4820,4,AMAN
74,4401,4,AMAN
82,4849,4,AMAN
82,4849,4,AMAN
72,4254,4,AMAN
72,4252,4,AMAN
76,4500,4,AMAN
72,4251,4,AMAN
72,4252,4,AMAN
72,4251,4,AMAN
72,4252,4,AMAN
74,4374,4,AMAN
82,4846,4,AMAN
73,4326,4,AMAN
72,4252,4,AMAN
81,4822,4,AMAN
82,4849,4,AMAN
72,4252,4,AMAN
81,4821,4,AMAN
81,4820,4,AMAN
72,4252,4,AMAN
76,4502,4,AMAN
81,4823,4,AMAN
72,4251,4,AMAN
81,4822,4,AMAN
81,4820,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
72,4252,4,AMAN
82,4849,4,AMAN
81,4822,4,AMAN
72,4255,4,AMAN
71,4181,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4252,4,AMAN
72,4254,4,AMAN
73,4325,4,AMAN
72,4251,4,AMAN
82,4846,4,AMAN
71,4205,4,AMAN
72,4252,4,AMAN
72,4251,4,AMAN
72,4252,4,AMAN
72,4251,4,AMAN
73,4325,4,AMAN
73,4325,4,AMAN
72,4254,4,AMAN
72,4251,4,AMAN
84,4958,4,WASPADA
83,4935,4,WASPADA
82,4850,4,WASPADA
82,4849,4,WASPADA
83,4900,4,WASPADA
83,4902,4,WASPADA
83,4926,4,WASPADA
82,4876,4,WASPADA
82,4878,4,WASPADA
84,4976,4,WASPADA
81,4804,4,WASPADA
82,4850,4,WASPADA
82,4828,4,WASPADA
82,4850,4,WASPADA
82,4850,4,WASPADA
82,4850,4,WASPADA
82,4850,4,WASPADA
82,4848,4,WASPADA
82,4881,4,WASPADA
82,4850,4,WASPADA
81,4802,4,WASPADA
80,4753,4,WASPADA
81,4804,4,WASPADA
81,4800,4,WASPADA
81,4797,4,WASPADA
81,4776,4,WASPADA
81,4777,4,WASPADA
82,4843,4,WASPADA
81,4771,4,WASPADA
81,4808,4,WASPADA
80,4758,4,WASPADA
82,4835,4,WASPADA
80,4718,4,WASPADA
79,4673,4,WASPADA
78,4623,4,WASPADA
76,4513,4,WASPADA
75,4460,4,WASPADA
76,4487,4,WASPADA
75,4419,4,WASPADA
74,4379,4,WASPADA
72,4265,4,WASPADA
73,4298,4,WASPADA
71,4226,4,WASPADA
71,4202,4,WASPADA
67,3985,3,WASPADA
68,4007,4,WASPADA
66,3883,3,WASPADA
68,4026,4,WASPADA
68,4003,4,WASPADA
67,3989,3,WASPADA
66,3909,3,WASPADA
66,3908,3,WASPADA
67,3943,3,WASPADA
66,3908,3,WASPADA
63,3731,3,WASPADA
64,3775,3,WASPADA
63,3747,3,WASPADA
63,3723,3,WASPADA
63,3749,3,WASPADA
63,3758,3,WASPADA
63,3760,3,WASPADA
63,3760,3,WASPADA
61,3633,3,WASPADA
63,3738,3,WASPADA
59,3515,3,WASPADA
61,3611,3,WASPADA
57,3405,3,WASPADA
58,3412,3,WASPADA
58,3469,3,WASPADA
57,3386,3,WASPADA
55,3292,3,WASPADA
57,3368,3,WASPADA
56,3335,3,WASPADA
55,3294,3,WASPADA
55,3252,3,WASPADA
55,3268,3,WASPADA
56,3300,3,WASPADA
59,3471,3,WASPADA
57,3403,3,WASPADA
57,3353,3,WASPADA
57,3394,3,WASPADA
55,3294,3,WASPADA
55,3289,3,WASPADA
57,3408,3,WASPADA
57,3357,3,WASPADA
57,3388,3,WASPADA
56,3340,3,WASPADA
55,3294,3,WASPADA
56,3344,3,WASPADA
56,3344,3,WASPADA
57,3368,3,WASPADA
56,3344,3,WASPADA
57,3399,3,WASPADA
57,3357,3,WASPADA
58,3438,3,WASPADA
59,3480,3,WASPADA
58,3438,3,WASPADA
57,3353,3,WASPADA
58,3447,3,WASPADA
58,3452,3,WASPADA
58,3457,3,WASPADA
59,3516,3,WASPADA
58,3448,3,WASPADA
63,3721,3,WASPADA
64,3800,3,WASPADA
66,3895,3,WASPADA
65,3846,3,WASPADA
68,4012,4,WASPADA
65,3842,3,WASPADA
68,4038,4,WASPADA
68,4008,4,WASPADA
66,3910,3,WASPADA
70,4124,4,WASPADA
70,4168,4,WASPADA
70,4158,4,WASPADA
73,4334,4,WASPADA
72,4252,4,WASPADA
78,4592,4,WASPADA
77,4550,4,WASPADA
77,4581,4,WASPADA
80,4723,4,WASPADA
81,4768,4,WASPADA
82,4840,4,WASPADA
79,4695,4,WASPADA
84,4970,4,WASPADA
80,4749,4,WASPADA
82,4866,4,WASPADA
81,4804,4,WASPADA
82,4876,4,WASPADA
83,4924,4,WASPADA
93,5512,5,WASPADA
92,5442,5,WASPADA
85,5033,5,WASPADA
91,5401,5,WASPADA
85,5011,5,WASPADA
84,4961,4,WASPADA
87,5134,5,WASPADA
85,5016,5,WASPADA
84,4961,4,WASPADA
84,4959,4,WASPADA
82,4862,4,WASPADA
82,4847,4,WASPADA
71,4234,4,WASPADA
72,4255,4,WASPADA
76,4513,4,WASPADA
75,4447,4,WASPADA
73,4347,4,WASPADA
70,4135,4,WASPADA
72,4292,4,WASPADA
66,3909,3,WASPADA
65,3835,3,WASPADA
63,3758,3,WASPADA
63,3745,3,WASPADA
62,3669,3,WASPADA
61,3627,3,WASPADA
61,3647,3,WASPADA
61,3592,3,WASPADA
62,3679,3,WASPADA
61,3603,3,WASPADA
58,3457,3,WASPADA
57,3411,3,WASPADA
62,3664,3,WASPADA
61,3627,3,WASPADA
58,3421,3,WASPADA
58,3465,3,WASPADA
57,3363,3,WASPADA
57,3366,3,WASPADA
57,3397,3,WASPADA
58,3416,3,WASPADA
61,3589,3,WASPADA
60,3546,3,WASPADA
61,3621,3,WASPADA
65,3859,3,WASPADA
64,3796,3,WASPADA
63,3741,3,WASPADA
62,3658,3,WASPADA
63,3731,3,WASPADA
63,3763,3,WASPADA
65,3863,3,WASPADA
66,3916,3,WASPADA
68,4017,4,WASPADA
66,3917,3,WASPADA
66,3931,3,WASPADA
68,4017,4,WASPADA
68,4047,4,WASPADA
68,4008,4,WASPADA
69,4108,4,WASPADA
69,4112,4,WASPADA
86,5105,5,WASPADA
83,4889,4,WASPADA
75,4423,4,WASPADA
77,4533,4,WASPADA
74,4353,4,WASPADA
74,4383,4,WASPADA
80,4746,4,WASPADA
80,4735,4,WASPADA
97,5712,5,WASPADA
79,4668,4,WASPADA
76,4480,4,WASPADA
80,4736,4,WASPADA
81,4767,4,WASPADA
78,4605,4,WASPADA
84,4943,4,WASPADA
85,5038,5,WASPADA
76,4528,4,WASPADA
74,4384,4,WASPADA
82,4841,4,WASPADA
83,4939,4,WASPADA
82,4843,4,WASPADA
81,4800,4,WASPADA
83,4889,4,WASPADA
83,4911,4,WASPADA
83,4894,4,WASPADA
75,4456,4,WASPADA
83,4918,4,WASPADA
84,4960,4,WASPADA
83,4908,4,WASPADA
83,4885,4,WASPADA
73,4334,4,WASPADA
79,4685,4,WASPADA
89,5287,5,WASPADA
80,4740,4,WASPADA
79,4673,4,WASPADA
77,4588,4,WASPADA
79,4650,4,WASPADA
85,5020,5,WASPADA
76,4486,4,WASPADA
74,4406,4,WASPADA
70,4134,4,WASPADA
75,4465,4,WASPADA
74,4356,4,WASPADA
69,4112,4,WASPADA
70,4172,4,WASPADA
67,3988,3,WASPADA
66,3905,3,WASPADA
67,3962,3,WASPADA
67,3971,3,WASPADA
65,3878,3,WASPADA
63,3764,3,WASPADA
66,3908,3,WASPADA
61,3633,3,WASPADA
65,3832,3,WASPADA
62,3699,3,WASPADA
63,3714,3,WASPADA
61,3609,3,WASPADA
60,3545,3,WASPADA
59,3487,3,WASPADA
57,3366,3,WASPADA
57,3408,3,WASPADA
57,3407,3,WASPADA
55,3289,3,WASPADA
55,3287,3,WASPADA
58,3456,3,WASPADA
59,3491,3,WASPADA
54,3235,3,WASPADA
55,3265,3,WASPADA
56,3296,3,WASPADA
57,3357,3,WASPADA
57,3379,3,WASPADA
60,3588,3,WASPADA
57,3387,3,WASPADA
59,3492,3,WASPADA
61,3597,3,WASPADA
60,3578,3,WASPADA
63,3717,3,WASPADA
62,3686,3,WASPADA
65,3826,3,WASPADA
67,3966,3,WASPADA
66,3936,3,WASPADA
66,3917,3,WASPADA
71,4203,4,WASPADA
69,4082,4,WASPADA
71,4189,4,WASPADA
73,4301,4,WASPADA
75,4451,4,WASPADA
74,4397,4,WASPADA
76,4526,4,WASPADA
74,4407,4,WASPADA
79,4663,4,WASPADA
85,5048,5,WASPADA
80,4719,4,WASPADA
80,4749,4,WASPADA
83,4934,4,WASPADA
84,4963,4,WASPADA
82,4880,4,WASPADA
83,4889,4,WASPADA
85,5012,5,WASPADA
83,4895,4,WASPADA
84,4965,4,WASPADA
83,4895,4,WASPADA
84,4965,4,WASPADA
83,4913,4,WASPADA
83,4933,4,WASPADA
84,4962,4,WASPADA
84,4988,4,WASPADA
84,4959,4,WASPADA
83,4935,4,WASPADA
82,4872,4,WASPADA
83,4921,4,WASPADA
80,4732,4,WASPADA
72,4279,4,WASPADA
78,4596,4,WASPADA
78,4641,4,WASPADA
77,4582,4,WASPADA
76,4508,4,WASPADA
74,4383,4,WASPADA
71,4230,4,WASPADA
73,4304,4,WASPADA
71,4184,4,WASPADA
71,4230,4,WASPADA
70,4153,4,WASPADA
68,4016,4,WASPADA
67,3965,3,WASPADA
65,3871,3,WASPADA
65,3869,3,WASPADA
62,3663,3,WASPADA
62,3694,3,WASPADA
60,3583,3,WASPADA
61,3598,3,WASPADA
